Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Morocco,2/3/2020,10/3/2020,14/3/2020,19/3/2020,22/3/2020,0.1282933113779973,0.11643914056957531,23.517804401222854,6.738391702276969,9.201093777,3.3811725759626805,0.9116602829551969,4.728630646,7.3612949132638015,3.5485818345599998,0.1720895035217284,1.4372797454133708,22.099157167027286,8.38,6,43,329,0,1992,23,42,139,141,72,1,8,10,44,15,95,6,366,29,275,73,3051,11,,2534,1064,320,7.273,16/3/2020,99,5,73.3,29.1,0.96,17.9,6.6,-1.9,70,18.2,73.3,2.31,26.1,14,2,-3,6,70,62,74,79
Mozambique,22/3/2020,,1/4/2020,,,0.06547619,,4.7610397157068585,3.1129482848465777,2.439409195,1.2572277935735998,0.5146159810758169,14.895486430900002,1.2907684487898097,26.752578451799998,8.404402987,3.0632611007594583,98.40384866714548,3.78,17,8,134,0,1012,7,21,40,64,32,2,3,13,120,0,653,2,99,8,183,20,2171,7,,186,63,28,0.735,23/3/2020,95,5,55.9,17,2.62,38.6,11,-1.7,289,64.7,55.9,4.97,7.2,1,-9,,,,82,92,
Namibia,14/3/2020,,29/3/2020,,,0.10795454545454546,,6.6209217849200925,4.743872690500401,4.2612937845199985,3.036659305180057,0.7660165469569585,13.273494474200001,2.6014355660769706,28.155839014699996,0.6815870298694188,2.2784795139743226,74.95640651360887,6.72,117,37,317,0,911,5,22,55,139,107,10,8,13,78,13,352,10,278,2,254,22,2114,27,0.43,83,30,24,3.721,16/3/2020,94,5,65.3,21.8,1.86,25.7,7.3,0,195,31.4,65.3,3.07,17.2,2,-13,,,,74,89,
Nepal,25/1/2020,,,,,0.075,,12.559728860028088,5.474063748768442,5.339250011,7.294492473284459,1.9597763743996832,13.416736856200002,6.0394187170079805,2.2987544417700003,1.6722536113492206,2.4058228816371856,44.64209437097477,12.92,8,36,216,0,1761,8,5,83,50,111,1,6,7,114,52,156,4,52,10,282,88,2650,3,0.043,254,336,193,6.5070000000000014,18/3/2020,94,5,71.8,25.3,0.98,18.1,5.7,-3.1,186,25.1,71.8,1.96,4.1,53,,,,,25,,
Netherlands,27/2/2020,6/3/2020,1/3/2020,5/3/2020,6/3/2020,0.18333370254153136,0.07465838,12.84393993965914,21.82694526710169,5.6391267763699995,5.625943006,0.8317125554554355,2.592594002,12.623045202430115,0.13225172322099998,0.00196951,0.27548947016352593,16.13807238024693,20.33,144,153,1074,0,746,55,47,175,373,441,,4,12,15,11,147,8,428,44,363,82,2175,46.57,0.76,5514,1447,1919,35.067,16/3/2020,,,81.7,42.8,0.37,11,9.2,1.9,5,3.5,81.7,1.77,20.4,18,15,11,10,66,58,61,65
New Zealand,28/2/2020,29/3/2020,17/3/2020,21/3/2020,22/3/2020,0.13826782554479436,0,13.813436327528196,17.30803443190533,4.926543646,5.052742459752528,0.5973484201092883,1.4509978210699999,11.58587176077285,0.112403769,0.057285078,0.1913107392689623,8.197012195230448,13.08,104,288,954,0,914,40,42,105,434,145,0,6,56,33,7,98,8,560,35,212,70,2202,28,,856,689,264,30.252,24/3/2020,,,82.1,37.2,1.44,12.8,6.9,8,9,3.5,82.1,1.87,30.8,25,7,3,-5,89,59,77,81
Nicaragua,19/3/2020,27/3/2020,,,,0.20833333333333334,0,9.27526447,6.964467978898384,11.31348318,2.8200602190313937,2.7753828324233667,6.2643469106400005,5.8211103047307775,0.8624538619259999,0.7003346569722878,1.4894739198905251,16.889637102592616,6.33,35,27,333,0,1319,19,12,64,130,139,14,6,30,125,0,45,6,411,0,218,28,2296,9,0.099,524,269,157,10.056000000000001,,98,5,74.2,27.3,0.96,17.1,5.2,-2.4,198,16.5,74.2,1.82,23.7,,,,,87,79,,
Niger,20/3/2020,25/3/2020,26/3/2020,1/4/2020,,0.5608441775108443,0.4444444444444445,3.0706514132254035,2.0058639285643065,2.8017447141400003,1.2134835981937453,0.4557386575059742,28.09304298,1.3599641222057572,3.0920590423100003,18.862496194938334,3.867155353823632,122.79000169721441,0.9,1,25,176,0,1602,1,4,43,56,85,1,6,168,325,7,36,1,35,0,97,86,2403,2.8,0.055999999999999994,31,42,6,0.5,21/3/2020,77,5,59.3,14.8,3.66,47.5,10.2,-0.7,509,67.7,59.3,7,5.5,1,-5,-11,-4,85,80,86,92
Nigeria,28/2/2020,23/3/2020,20/3/2020,25/3/2020,29/3/2020,0.1792823778744083,0.16666666666666666,2.5330596061858013,2.6162031458503208,2.6981138935900004,0.9989956572856926,1.3383581664220852,21.576547779000002,1.844769504113473,8.60521656,11.47805375601117,4.226618382076948,95.57063198411915,0.84,60,7,80,0,1064,8,17,71,34,11,1,2,61,97,20,604,1,79,9,263,54,2384,5,,1827,454,144,3.827,26/3/2020,68,5,60.4,18.6,2.53,34.6,9.1,-0.2,917,59.8,60.4,4.72,8.9,27,6,1,3,83,59,80,85
North Macedonia,26/2/2020,22/3/2020,13/3/2020,20/3/2020,22/3/2020,0.098441848,0.25132275132275134,28.57018358334283,16.178565870012346,6.894427997719999,3.3557868290806065,1.1027067109130322,1.3272113290799998,6.977284135445018,0.16081872991100002,0.075027404,0.9694253176543072,6.118893698252263,22.53,59,131,566,0,1001,21,11,129,179,211,8,11,48,47,20,112,46,378,26,396,164,2434,44.28,1.66,,,,,11/3/2020,94,5,,,,,,,,,,,,14,-2,-9,-11,82,57,73,80
